CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BAÑO;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA;DIRECCION_NORMALIZADA;BARRIO_NORMALIZADO;COMUNA_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
24 DE NOVIEMBRE;1600;63;99000;1571,4; ;3;2; ; ; FRENTE; ; ; ;1; ; ;TERRAZA; ; ZONAPROP/BOEDO;1600 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;PARQUE PATRICIOS;4; ;4; 24 DE NOVIEMBRE 1600;SAN CRISTOBAL;COMUNA 4;1242; C1242AA;-34.629786760558616;-58.40981913071519
25 DE MAYO;200;130;240000;1846,2; ;5;4;110; ; FRENTE; ; ; ;2; ; ; ; ; ZONAPROP/CENTRO;200 25 DE MAYO; 25 DE MAYO;100;L;SAN NICOLAS;1; ;1; 25 DE MAYO 200;SAN NICOLAS;COMUNA 1;1002; C1002AB;-34.60554485337998;-58.37096591554112
25 DE MAYO;700;41;83000;2024,4; ;2;1;40; ; INTERNO; ; ; ;1; S; ; ; ; ZONAPROP/CENTRO;700 25 DE MAYO; 25 DE MAYO;100;L;SAN NICOLAS;1; ;1; 25 DE MAYO 700;SAN NICOLAS;COMUNA 1;1002; C1002AB;-34.599661282124764;-58.37142839652113
25 DE MAYO;700;90;180000;2000; ;4;3;30; ; FRENTE; ; ;SI;0; ; S; ; ; ZONAPROP.COM_RETIRO;700 25 DE MAYO; 25 DE MAYO;100;L;SAN NICOLAS;1; ;1; 25 DE MAYO 700;SAN NICOLAS;COMUNA 1;1002; C1002AB;-34.599661282124764;-58.37142839652113
25 DE MAYO;800;134;390000;2910,4; ;4;3;80; ; CONTRAFRENT; ;SI; ;2; S; S; ; ; ZONAPROP.COM_RETIRO;800 25 DE MAYO; 25 DE MAYO;100;L;SAN NICOLAS;1; ;1; 25 DE MAYO 800;SAN NICOLAS;COMUNA 1;1002; C1002AB;-34.59850767880994;-58.371518259925644
3 DE FEBRERO;700;57;145000;2543,9;5;3;2;40; ; CONTRAFRENT; ; ; ;1; ; ; ; ; ARGENPROP.COM/PALERMO;700 3 DE FEBRERO; 3 DE FEBRERO;37; ;PALERMO;14; ;2; ; ; ; ; ;;
3 DE FEBRERO;700;102;257000;2519,6;4;4;3;40; ; FRENTE; ;SI;SI;1; S; ;BALCON; ; ARGENPROP.COM/PALERMO;700 3 DE FEBRERO; 3 DE FEBRERO;37; ;PALERMO;14; ;2; ; ; ; ; ;;
3 DE FEBRERO;900;40;106000;2650; ;2;1; ;A ESTRENAR; FRENTE; ; ;SI;1; ; ;TERRAZA; ; ZONAPROP/BELGRANO;900 3 DE FEBRERO; 3 DE FEBRERO;100;L;PALERMO;14; ;2; 3 DE FEBRERO 900;PALERMO;COMUNA 14;1426; C1426BJ;-34.56994771038695;-58.44164932242003
3 DE FEBRERO;900;81;202000;2493,8; ;2;1; ; ; FRENTE; ; ;SI;1; ; ;TERRAZA; ; ZONAPROP/BELGRANO;900 3 DE FEBRERO; 3 DE FEBRERO;100;L;PALERMO;14; ;2; 3 DE FEBRERO 900;PALERMO;COMUNA 14;1426; C1426BJ;-34.56994771038695;-58.44164932242003
3 DE FEBRERO;1200;330;800000;2424,2;1;5;4;25; ; FRENTE; DUPLEX;SI;SI;2; S; S; ; ; ARGENPROP.COM/PALERMO;1200 3 DE FEBRERO; 3 DE FEBRERO;100;L;PALERMO;14; ;2; 3 DE FEBRERO 1200;PALERMO;COMUNA 14;1426; C1426BJ;-34.56829623797844;-58.44440230955636
3 DE FEBRERO;1800;160;449900;2811,9; ;4;3; ; ; CONTRAFRENT; ; ;SI;3; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1800 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 1800;BELGRANO;COMUNA 13;1426; C1426BJ;-34.56223235709142;-58.4495989565577
3 DE FEBRERO;1800;189;470000;2486,8; ;5;4; ; ; ; ;SI;SI;3; ; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1800 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 1800;BELGRANO;COMUNA 13;1426; C1426BJ;-34.56223235709142;-58.4495989565577
3 DE FEBRERO;1800;200;590000;2950; ;5;4; ; ; FRENTE; ; ;SI;4; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1800 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 1800;BELGRANO;COMUNA 13;1426; C1426BJ;-34.56223235709142;-58.4495989565577
3 DE FEBRERO;1900;173;530000;3063,6; ;4;3;29; ; CONTRAFRENT; ;SI;SI;3; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1900 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 1900;BELGRANO;COMUNA 13;1428; C1428AH;-34.56128840756595;-58.45041351298727
3 DE FEBRERO;1900;320;1150000;3593,8; ;6;5;35; ; FRENTE; ;SI;SI;5; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;1900 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 1900;BELGRANO;COMUNA 13;1428; C1428AH;-34.56128840756595;-58.45041351298727
3 DE FEBRERO;2100;240;590000;2458,3; ;4;3;25; ; FRENTE; ;SI;SI;5; S; S;TERRAZA; ; INMUEBLESCLARIN.COM/BELGRANO;2100 3 DE FEBRERO; 3 DE FEBRERO;100;L;BELGRANO;13; ;2; 3 DE FEBRERO 2100;BELGRANO;COMUNA 13;1428; C1428AH;-34.55942381758279;-58.4520342158442
