X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,4790842897150;-34,6332594849;1006302;PARADAS DE POSTE;RIVADAVIA AV.;8210;;;{96};RIVADAVIA AV. 8210;RIVADAVIA AV.;8210;98.552.670.867.599.900.000;99.557.312.060.199.900.000;F;;;RELEVAMIENTO2015;T;11/4/2015
-58,3825039849166;-34,6341048785;10063;;;;;;{45};;;;107.408.390.625.000.000.000;99.460.726.562.500.000.000;F;;OLMOS, AMBROSIO&&SALTA;USIG;F;3/4/2017
-58,4873256421998;-34,6354047924;1005398;PARADA NO OFICIAL;LACARRA;10;;;{5};LACARRA 10;LACARRA;10;97.797.049.905.499.900.000;99.319.171.089.900.000.000;F;;;RELEVAMIENTO2015;T;29/4/2015
-58,4918071696798;-34,6361140638;1006075;PARADA NO OFICIAL;RIVADAVIA AV.;9085;;;{113};RIVADAVIA AV. 9085;RIVADAVIA AV.;9085;97.386.155.907.900.000.000;99.240.379.333.599.900.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,4969444651956;-34,6371922965;1006325;PARADA NO OFICIAL;RIVADAVIA AV.;9418;;;{182};RIVADAVIA AV. 9418;RIVADAVIA AV.;9418;96.915.155.657.099.900.000;99.120.618.737.900.000.000;F;;;RELEVAMIENTO2015;T;11/4/2015
-58,4878763157336;-34,6381058164;10617;;;;;;{46};;;;97.746.632.812.500.000.000;99.019.523.437.500.000.000;F;;RAFAELA&&RIO GRANDE;USIG;F;8/11/2016
-58,4498182498679;-34,6387356465;1004671;PARADAS DE POSTE;CARABOBO AV.;1189;;;{133};CARABOBO AV. 1189;CARABOBO AV.;1189;101.236.101.092.000.000.000;98.949.866.698.400.000.000;F;;;RELEVAMIENTO2015;T;14/4/2015
-58,4556042356180;-34,6403565527;1003556;PARADAS DE POSTE;PERON, EVA AV.;2483;;;{132};PERON, EVA AV. 2483;PERON, EVA AV.;2483;100.705.585.576.000.000.000;98.770.105.719.200.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,4853336864897;-34,6459538223;14345;;;;;;{180,4,53,55,8,96};;;;97.979.957.529.188.000.000;98.148.967.924.248.300.000;F;;DIRECTORIO AV.&&PITAGORAS;USIG;F;8/11/2016
-58,4263678084525;-34,6460578303;11816;;;;;;{101,143};;;;103.385.921.875.000.000.000;98.137.062.500.000.000.000;F;;FERNANDEZ DE LA CRUZ, F., GRAL. AV.&&PAZOS, JOSE;USIG;F;8/11/2016
-58,4060708288233;-34,6468369552;1005175;PARADAS DE POSTE;GRITO DE ASENCIO;3168;;;{150,91};GRITO DE ASENCIO 3168;GRITO DE ASENCIO;3168;105.246.690.282.000.000.000;98.049.772.765.300.000.000;F;;;RELEVAMIENTO2015;T;16/4/2015
-58,4493063448847;-34,6471793275;1007035;PARADAS CON REFUGIO;VARELA AV.;1791;SARAZA;CASTAÑARES AV.;{76};VARELA AV. 1791;VARELA AV.;1791;101.282.911.932.000.000.000;98.013.169.034.100.000.000;F;;;RELEVAMIENTO2015;T;23/4/2015
