CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
BAEZ;200;120.0;245000;2041.7;3;15;;;;;;;PALERMO;14;-58.430206030598555;-34.572774183665786
AYACUCHO;1100;120.0;245000;2041.7;4;0;;;;;;SI;RECOLETA;2;-58.396257740003286;-34.595739472029095
TRIUNVIRATO;3900;121.0;247000;2041.3;4;38;;;;SI;;SI;PARQUE CHAS;15;-58.475547956571233;-34.580050694287358
ANCHORENA, TOMAS M. DE, DR;50;46.0;93900;2041.3;2;0;;;;SI;;;BALVANERA;3;-58.411919324368242;-34.609900912964491
BLANCO ENCALADA;3100;97.0;198000;2041.2;3;30;;;SI;;;;BELGRANO;13;-58.46566264096306;-34.563284491209139
ARGERICH;2300;73.0;149000;2041.1;3;0;;;;;;;VILLA SANTA RITA;11;-58.48512652888116;-34.609331856768172
BAHIA BLANCA;2000;22.0;44900;2040.9;1;A ESTRENAR;;;SI;;;;MONTE CASTRO;10;-58.495866488861537;-34.615986833372645
DIAZ COLODRERO;3100;44.0;89800;2040.9;2;0;;;;SI;;;VILLA URQUIZA;12;-58.490039941342502;-34.568349653967481
NAZCA;2700;49.0;100000;2040.8;2;0;;;;SI;;;VILLA DEL PARQUE;11;-58.48714550965353;-34.604891911920298
CORRIENTES;4500;98.0;200000;2040.8;4;60;;;;;;BALCON;ALMAGRO;5;-58.428585986675152;-34.602557152100431
LOYOLA;1000;37.0;75500;2040.5;2;0;;;;;;;VILLA CRESPO;15;-58.439218974828577;-34.592233282666044
CALVO, CARLOS;1500;37.0;75500;2040.5;1;0;;;;;;BALCON;CONSTITUCION;1;-58.38730200777082;-34.620094144294768
ALVAREZ, THOMAS;600;63.0;128531;2040.2;3;0;;;SI;2;;;CHACARITA;15;-58.450999349558032;-34.580635742812618
VALLEJOS;3200;50.0;102000;2040.0;2;0;;;SI;SI;;;VILLA PUEYRREDON;12;-58.504642584396535;-34.590371367009382
TUCUMAN;2000;41.0;83640;2040.0;3;0;;;SI;;;;BALVANERA;3;-58.39551851882706;-34.602298819718918
HUMBOLDT;2400;75.0;153000;2040.0;3;45;;;;;;;PALERMO;14;-58.42913038531907;-34.579220691730065
TERRADA;4600;50.0;102000;2040.0;2;0;;;;;;;VILLA PUEYRREDON;12;-58.500431600226861;-34.586504118420947
AGUERO;1200;76.0;155000;2039.5;3;50;;;;SI;SI;BALCON;RECOLETA;2;-58.40979009311831;-34.595645148102363
RIOBAMBA;900;76.0;155000;2039.5;3;70;;;;SI;SI;SI;RECOLETA;2;-58.394707529730738;-34.59875166837729
MELINCUE;3000;76.0;155000;2039.5;4;35;;;;;SI;BALCON;VILLA DEL PARQUE;11;-58.491770532578414;-34.601537048862063
DICKMAN, ADOLFO, Dr.;1400;47.0;95853;2039.4;2;0;;;;2;;;PATERNAL;15;-58.463806143610427;-34.601761047347772
BUCARELLI;1200;30.0;61178;2039.3;1;A ESTRENAR;;;SI;SI;SI;;PARQUE CHAS;15;-58.477923426300855;-34.587831100129428
MITRE EMILIO;600;46.0;93800;2039.1;2;0;;;;;;;CABALLITO;6;-58.442769922389644;-34.629301577864233
LORETO, VIRREY;1600;179.0;365000;2039.1;4;45;;;;;;;BELGRANO;13;-58.442827633762093;-34.562353912231167
GRANADA, NICOLAS;1600;31.0;63200;2038.7;2;A ESTRENAR;;;SI;;;BALCON;PATERNAL;15;-58.461289873786775;-34.603029358276956
BAEZ;700;130.0;265000;2038.5;4;50;;;;;;;PALERMO;14;-58.435306483853488;-34.56979485233731
RIVERA, PEDRO I., Dr.;5800;67.0;136570;2038.4;3;0;;;SI;2;;;VILLA URQUIZA;12;-58.496424934604818;-34.576646311907631
RIVERA INDARTE;5800;67.0;136570;2038.4;0;0;;;;2;;;VILLA URQUIZA;12;-58.496424934604818;-34.576646311907631
VUELTA DE OBLIGADO;2300;184.0;375000;2038.0;0;35;;;2;4;;;BELGRANO;13;-58.457418046931679;-34.559672903815958
PINO, Virrey del;2300;132.0;269000;2037.9;4;20;;;;;;;BELGRANO;13;-58.449911777621736;-34.564960086293432
LUGONES;1700;53.0;108000;2037.7;0;0;;;;;;;VILLA ORTUZAR;15;-58.473855166013379;-34.577659100256049
LAVALLE;3300;53.0;108000;2037.7;2;0;;;;;;;ALMAGRO;5;-58.412649504222848;-34.601731139621933
MARECHAL, LEOPOLDO;900;40.0;81500;2037.5;2;0;;;;SI;;;CABALLITO;6;-58.437873366406883;-34.607820606838551
PACHECO;2100;67.0;136500;2037.3;0;A ESTRENAR;;;;;;;VILLA URQUIZA;12;-58.481831212424197;-34.57587389335788
ECHEVERRIA;5200;118.0;240400;2037.3;4;0;;;SI;2;;;VILLA URQUIZA;12;-58.482829090999743;-34.580108401739622
VERA;1100;42.0;85560;2037.1;2;0;;;SI;;;;VILLA CRESPO;15;-58.44282847706107;-34.593775391785151
RODRIGUEZ PENA;100;54.0;110000;2037.0;3;0;;;SI;;;;SAN NICOLAS;1;-58.390830772418653;-34.607956075138311
RIVADAVIA;8000;54.0;110000;2037.0;3;0;;;SI;SI;SI;BALCON TERRAZA;FLORESTA;10;-58.47667547307055;-34.632707012932116
11 DE SEPTIEMBRE DE 1888;4700;54.0;110000;2037.0;0;0;;;;SI;;;NUÑEZ;13;-58.467686008514981;-34.537422271448818
AMENABAR;3600;81.0;165000;2037.0;0;30;;;;;;;NUÑEZ;13;-58.470274472750361;-34.550156834799708
HABANA;3600;54.0;110000;2037.0;0;0;;;;SI;;;VILLA DEVOTO;11;-58.508651980222027;-34.595090293206276
YATAY;200;54.0;110000;2037.0;3;0;;;;SI;SI;;ALMAGRO;5;-58.429076215498036;-34.610739856130913
BOULOGNE SUR MER;500;27.0;55000;2037.0;1;40;;;;SI;SI;;BALVANERA;3;-58.40680869991845;-34.604407687824626
PUEYRREDON;1700;135.0;275000;2037.0;4;60;;;;SI;;;RECOLETA;2;-58.401186108369934;-34.591519294092883
OLAZABAL;5100;54.0;110000;2037.0;3;0;;;;SI;SI;;VILLA URQUIZA;12;-58.485801590590917;-34.576610331835269
DUMONT, SANTOS;4200;27.0;55000;2037.0;1;0;;;;SI;;;CHACARITA;15;-58.452388449965326;-34.591677615377385
PERU;800;108.0;220000;2037.0;4;80;;;;;;TERRAZA;SAN TELMO;1;-58.374275766239151;-34.617244903949064
GASCON;200;81.0;165000;2037.0;3;10;;;;;;;ALMAGRO;5;-58.424726027441622;-34.610126206380436
ARCOS;2300;135.0;275000;2037.0;4;25;;;;;;;BELGRANO;13;-58.455607129222031;-34.558569166616131
SANTA FE;4900;108.0;220000;2037.0;0;37;;;;;;;PALERMO;14;-58.428741177188158;-34.577615069956479
LACROZE, FEDERICO;3300;54.0;110000;2037.0;2;0;;;;;;;COLEGIALES;13;-58.449821983622535;-34.578966627049923
SUCRE, ANTONIO JOSE de, Mcal.;2500;54.0;110000;2037.0;3;0;;;;;;;BELGRANO;13;-58.455922657463979;-34.564604089854356
DUMONT, SANTOS;3400;54.0;110000;2037.0;2;0;;;;;;;COLEGIALES;13;-58.446925764304297;-34.582056833747089
